OBJECTID,ADDRESS,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,TOWN,TOWN_ID,ZIPCODE,STATUS
323072514,13 BROOKWAY COURT,13,BROOKWAY COURT,,,,WALTHAM,308,02452,LINKED
323073454,94 CHARLES RIVER ROAD,94,CHARLES RIVER ROAD,,CHARLESBANK GARDEN APARTMENTS,,WALTHAM,308,02453,LINKED
323073471,32-34 CHARLES STREET,32-34,CHARLES STREET,,,,WALTHAM,308,02453,ACTIVE
323073475,47 CHARLES STREET,47,CHARLES STREET,,,,WALTHAM,308,02453,LINKED
323073478,52 CHARLES STREET,52,CHARLES STREET,,,,WALTHAM,308,02453,ACTIVE
323073504,88 CHARLES STREET,88,CHARLES STREET,,,,WALTHAM,308,02453,ACTIVE
323074037,119 CHESTNUT STREET,119,CHESTNUT STREET,,,,WALTHAM,308,02453,ACTIVE
323086113,221 SMITH STREET,221,SMITH STREET,,,,WALTHAM,308,02451,ACTIVE
323086130,53 SOUTH STREET,53,SOUTH STREET,,,,WALTHAM,308,02453,ACTIVE
323086147,65 SOUTH STREET,65,SOUTH STREET,,,,WALTHAM,308,02453,ACTIVE
323074027,107 CHESTNUT STREET,107,CHESTNUT STREET,,,,WALTHAM,308,02453,ACTIVE
323074031,111 CHESTNUT STREET,111,CHESTNUT STREET,,,,WALTHAM,308,02453,ACTIVE
323074043,124 CHESTNUT STREET,124,CHESTNUT STREET,,,,WALTHAM,308,02453,ACTIVE
323074045,126 CHESTNUT STREET,126,CHESTNUT STREET,,,,WALTHAM,308,02453,ACTIVE
323074046,152 CHESTNUT STREET,152,CHESTNUT STREET,,,,WALTHAM,308,02453,LINKED
323074057,164-166 CHESTNUT STREET,164-166,CHESTNUT STREET,,,,WALTHAM,308,02453,ACTIVE
323074068,181 CHESTNUT STREET,181,CHESTNUT STREET,,,,WALTHAM,308,02453,ACTIVE
323074075,185-187 CHESTNUT STREET,185-187,CHESTNUT STREET,,,,WALTHAM,308,02453,ACTIVE
323070671,189 ASH STREET,189,ASH STREET,,,,WALTHAM,308,02453,ACTIVE
323070680,205 ASH STREET,205,ASH STREET,,,,WALTHAM,308,02453,ACTIVE
323070691,222 ASH STREET,222,ASH STREET,,,,WALTHAM,308,02453,ACTIVE
323070694,227 ASH STREET,227,ASH STREET,,,,WALTHAM,308,02453,ACTIVE
323070697,235 ASH STREET,235,ASH STREET,,,,WALTHAM,308,02453,ACTIVE
