STREETNAME,zone,whole_street_in_zone,lowest_number_on_segment,highest_number_on_segment,notes
HAGAR LANE,7,TRUE,,,
HAGAR STREET,10,TRUE,,,
HALL STREET,10,TRUE,,,
HAMBLIN ROAD,13,TRUE,,,
HAMILTON ROAD,8,TRUE,,,
HAMMER STREET,12,TRUE,,,
HAMMOND STREET,5,TRUE,,,
HAMMOND STREET,9,TRUE,,,
HANSEN ROAD,8,TRUE,,,
HARDING AVENUE,10,TRUE,,,
HARDY POND ROAD,1,TRUE,,,
HARDY STREET,10,TRUE,,,
HARLAND ROAD,8,TRUE,,,
HARMON ROAD,2,TRUE,,,
HARRINGTON ROAD,2,TRUE,,,
HARRIS STREET,5,TRUE,,,
HARTWELL PLACE,12,TRUE,,,
HARTWELL STREET,12,TRUE,,,
HARVARD PLACE,9,TRUE,,,
HARVARD STREET,9,TRUE,,,
HASTINGS AVENUE,9,TRUE,,,
HASTINGS STREET,10,TRUE,,,
HATHERLY ROAD,2,TRUE,,,
HAWTHORNE ROAD,8,TRUE,,,
HAYS ROAD,12,TRUE,,,
HAZEL STREET,14,TRUE,,,
HEARD STREET,9,TRUE,,,
HELEN STREET,2,TRUE,,,
HEMLOCK TERRACE,2,TRUE,,,
HERSUM WAY,1,TRUE,,,
HIAWATHA AVENUE,1,TRUE,,,
HIBISCUS AVENUE,1,TRUE,,,
HIBISCUS AVENUE,4,TRUE,,,
HICKORY DRIVE,3,TRUE,,,
HIGH ROCK CIRCLE,1,TRUE,,,
HIGH STREET,10,TRUE,,,
HIGHLAND STREET,12,TRUE,,,
HILL ROAD,8,TRUE,,,
HILLCREST ROAD,1,TRUE,,,
HILLCREST STREET,4,TRUE,,,
HILLCROFT ROAD,2,TRUE,,,
HILLSIDE AVENUE,3,TRUE,,,
HOBBS BROOK ROAD,1,TRUE,,,
HOBBS ROAD,2,TRUE,,,
HOLLACE STREET,7,TRUE,,,
HOPE AVENUE,12,TRUE,,,
HOVEY ROAD,13,TRUE,,,
HOWARD STREET,9,TRUE,,,
HOWARD STREET,5,TRUE,,,
HUMBOLDT STREET,2,TRUE,,,
HUNTINGTON STREET,2,TRUE,,,
INDIAN ROAD,4,TRUE,,,
INTERVALE ROAD,8,TRUE,,,
IRVING STREET,8,TRUE,,,
IVALOO STREET,2,TRUE,,,
IVY LANE,2,TRUE,,,
JACKSON PLACE,9,TRUE,,,
JACKSON STREET,9,TRUE,,,
JACQUELINE ROAD,2,TRUE,,,
JAMES STREET,8,TRUE,,,
JENNINGS ROAD,8,TRUE,,,
JERICHO HILL ROAD,4,TRUE,,,
JOHN STREET,10,TRUE,,,
JONES ROAD,8,TRUE,,,
JOY STREET,5,TRUE,,,
JOYCE ROAD,13,TRUE,,,
JUDITH LANE,2,TRUE,,,
JUNIPER HILL ROAD,2,TRUE,,,
KEACH STREET,8,TRUE,,,
KEACH TERRACE,8,TRUE,,,
KENDALL PARK,5,TRUE,,,
KENMORE ROAD,10,TRUE,,,
KENMORE TERRACE,10,TRUE,,,
KENWOOD LANE,2,TRUE,,,
KINGS WAY,1,TRUE,,,
KINGSLEY COURT,9,TRUE,,,
KINGSTON ROAD,1,TRUE,,,
KINGSTON TERRACE,1,TRUE,,,
KNOLLWOOD DRIVE,12,TRUE,,,
KODIAK WAY,3,TRUE,,,
LAFAYETTE STREET,10,TRUE,,,
LAKE ROAD,1,TRUE,,,
LAKE STREET,1,TRUE,,,
LAKEVIEW AVENUE,4,TRUE,,,
LAKEVIEW TERRACE,1,TRUE,,,
LARCHMONT AVENUE,4,TRUE,,,
LAUREL AVENUE,13,TRUE,,,
LAUREL AVENUE (NEWTON),-1,TRUE,,,newton
LAURICELLA LANE,3,TRUE,,,
LAWNDALE AVENUE,10,TRUE,,,
LAWRENCE STREET,5,TRUE,,,
LAWTON PLACE,9,TRUE,,,
LEBLANC LANE,2,TRUE,,,
LEDGE ROAD,2,TRUE,,,
LEITHA DRIVE,1,TRUE,,,
LEONARD STREET,5,TRUE,,,
LESLIE ROAD,1,TRUE,,,
LEXINGTON STREET,5,FALSE,0,119,
LEXINGTON STREET,9,FALSE,120,10000,
LEXINGTON TERRACE,5,TRUE,,,
LIBERTY STREET,9,TRUE,,,
LINCOLN STREET,5,FALSE,168,10000,
LINCOLN STREET,4,FALSE,112,167,
LINCOLN STREET,1,FALSE,0,111,
LINCOLN TERRACE,5,TRUE,,,
LINCOLN WOODS ROAD,1,TRUE,,,
LINDEN CIRCLE,7,TRUE,,,
LINDEN PARK DRIVE,7,TRUE,,,
LINDEN STREET,7,TRUE,,,
LINDEN TERRACE,7,TRUE,,,
LINDY LANE,9,TRUE,,,
LIONEL AVENUE,2,TRUE,,,
LISA LANE,2,TRUE,,,
LIVERMORE ROAD,5,TRUE,,,
LIVERPOOL LANE,10,TRUE,,,
LIVINGSTONE LANE,8,TRUE,,,
LONGFELLOW ROAD,7,TRUE,,,
LONGFELLOW ROAD (WATERTOWN),-1,TRUE,,,watertown
LORD STREET,5,TRUE,,,
LORETTA ROAD,1,TRUE,,,
LORY DRIVE,2,TRUE,,,
LOWELL PLACE,10,TRUE,,,
LOWELL STREET,10,FALSE,1,58,
LOWELL STREET,13,FALSE,59,10000,
LUNDA STREET,5,TRUE,,,
LURA LANE,5,TRUE,,,
LYMAN STREET,5,TRUE,,,
LYMAN TERRACE,5,TRUE,,,
MACKS COURT,5,TRUE,,,
MADISON ROAD,7,TRUE,,,
MAIN STREET,7,FALSE,1,487,
MAIN STREET,8,FALSE,962,10000,
MAIN STREET,9,FALSE,488,961,
MAIN STREET (WATERTOWN),-1,TRUE,,,watertown
MALLARD WAY,2,TRUE,,,
MALVERN STREET,4,TRUE,,,
MANNING ROAD,7,TRUE,,,
MANOR ROAD,7,TRUE,,,
MAPLE STREET,13,TRUE,,,
MARGUERITE AVENUE,2,TRUE,,,
MARIANNE ROAD,7,TRUE,,,
MARION STREET,14,TRUE,,,
MARIVISTA AVENUE,4,TRUE,,,
MARKET PLACE DRIVE,3,TRUE,,,
MARLBOROUGH ROAD,2,TRUE,,,
MARLTON ROAD,7,TRUE,,,
MARTYN STREET,12,TRUE,,,
MASSASOIT COURT,10,TRUE,,,
MASSASOIT STREET,10,TRUE,,,
MATTHEW LANE,2,TRUE,,,
MAYALL ROAD,7,TRUE,,,
MCBRIDE'S COURT,10,TRUE,,,
MCKENN STREET,10,TRUE,,,
MEADE ROAD,1,TRUE,,,
MEADOW LANE,1,TRUE,,,
MECHANIC STREET,9,TRUE,,,
MELODY LANE,1,TRUE,,,
MICHAEL CHRIS DRIVE,2,TRUE,,,
MIDDLE STREET,9,TRUE,,,
MIDDLE STREET COURT,9,TRUE,,,
MIDDLESEX CIRCLE,7,TRUE,,,
MIDDLESEX ROAD,15,TRUE,,,
MIDLAND DRIVE,7,TRUE,,,
MILNER STREET,4,TRUE,,,
MILO STREET,13,TRUE,,,
MILTON STREET,8,TRUE,,,
MIRIAM ROAD,1,TRUE,,,
MOKEMA AVENUE,1,FALSE,0,40,
MOKEMA AVENUE,4,FALSE,41,10000,
MONTCLAIR AVENUE,4,TRUE,,,
MONTVIEW AVENUE,4,TRUE,,,
MONTVIEW CIRCLE,4,TRUE,,,
MOODY STREET,9,FALSE,0,256,
MOODY STREET,13,FALSE,257,10000,
MOORE STREET,10,TRUE,,,
MORRIS STREET,12,TRUE,,,
MORTON STREET,12,TRUE,,,
MORTON WAY,12,TRUE,,,
MOUNT IDA TERRACE,4,TRUE,,,
MOUNT PLEASANT STREET,4,TRUE,,,
MOUNT VERNON AVENUE,4,TRUE,,,
MOUNT WALLEY ROAD,4,TRUE,,,
